scenario_id,model,prompt_type,dataset,ics,n_constraints
iac_eval_0000,claude-4.5-sonnet,zero-shot,iac_eval,1.0,6
iac_eval_0001,claude-4.5-sonnet,zero-shot,iac_eval,0.625,8
iac_eval_0002,claude-4.5-sonnet,zero-shot,iac_eval,0.7777777777777778,9
iac_eval_0003,claude-4.5-sonnet,zero-shot,iac_eval,1.0,18
iac_eval_0004,claude-4.5-sonnet,zero-shot,iac_eval,1.0,29
iac_eval_0005,claude-4.5-sonnet,zero-shot,iac_eval,0.9444444444444444,18
iac_eval_0006,claude-4.5-sonnet,zero-shot,iac_eval,0.9230769230769231,13
iac_eval_0007,claude-4.5-sonnet,zero-shot,iac_eval,0.9230769230769231,13
iac_eval_0008,claude-4.5-sonnet,zero-shot,iac_eval,0.9285714285714286,14
iac_eval_0009,claude-4.5-sonnet,zero-shot,iac_eval,0.9545454545454546,22
iac_eval_0010,claude-4.5-sonnet,zero-shot,iac_eval,0.9473684210526315,19
iac_eval_0011,claude-4.5-sonnet,zero-shot,iac_eval,0.96,25
iac_eval_0012,claude-4.5-sonnet,zero-shot,iac_eval,0.95,20
iac_eval_0013,claude-4.5-sonnet,zero-shot,iac_eval,0.95,20
iac_eval_0014,claude-4.5-sonnet,zero-shot,iac_eval,0.8,25
iac_eval_0015,claude-4.5-sonnet,zero-shot,iac_eval,0.7096774193548387,31
iac_eval_0016,claude-4.5-sonnet,zero-shot,iac_eval,0.8214285714285714,28
iac_eval_0017,claude-4.5-sonnet,zero-shot,iac_eval,0.8,25
iac_eval_0018,claude-4.5-sonnet,zero-shot,iac_eval,0.7435897435897436,39
iac_eval_0019,claude-4.5-sonnet,zero-shot,iac_eval,0.7435897435897436,39
iac_eval_0020,claude-4.5-sonnet,zero-shot,iac_eval,1.0,7
iac_eval_0021,claude-4.5-sonnet,zero-shot,iac_eval,1.0,7
iac_eval_0022,claude-4.5-sonnet,zero-shot,iac_eval,1.0,7
iac_eval_0023,claude-4.5-sonnet,zero-shot,iac_eval,1.0,7
iac_eval_0024,claude-4.5-sonnet,zero-shot,iac_eval,0.8,30
iac_eval_0025,claude-4.5-sonnet,zero-shot,iac_eval,0.8125,32
iac_eval_0026,claude-4.5-sonnet,zero-shot,iac_eval,0.8235294117647058,34
iac_eval_0027,claude-4.5-sonnet,zero-shot,iac_eval,0.9230769230769231,13
iac_eval_0028,claude-4.5-sonnet,zero-shot,iac_eval,0.4,5
iac_eval_0029,claude-4.5-sonnet,zero-shot,iac_eval,0.4,5
iac_eval_0030,claude-4.5-sonnet,zero-shot,iac_eval,1.0,2
iac_eval_0031,claude-4.5-sonnet,zero-shot,iac_eval,0.8333333333333334,6
iac_eval_0032,claude-4.5-sonnet,zero-shot,iac_eval,0.8333333333333334,6
iac_eval_0033,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0034,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0035,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0036,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0037,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0038,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0039,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0040,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0041,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0042,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0043,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0044,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0045,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0046,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0047,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0048,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0049,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0050,claude-4.5-sonnet,zero-shot,iac_eval,0.0,1
iac_eval_0051,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0052,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0053,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0054,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0055,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0056,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0057,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0058,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0059,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0060,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0061,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0062,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0063,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0064,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0065,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0066,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0067,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0068,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0069,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0070,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0071,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0072,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
iac_eval_0073,claude-4.5-sonnet,zero-shot,iac_eval,1.0,1
