"dataset","model","prompt_type","num_samples","tflint_run_rate","trivy_run_rate","mean_tflint_total","mean_tflint_error","mean_tflint_warning","mean_tflint_notice","mean_tflint_info","mean_trivy_total","mean_trivy_critical","mean_trivy_high","mean_trivy_medium","mean_trivy_low","mean_trivy_unknown"
"iac_eval","claude-4.5-sonnet","cot","458","0.9934","1.0","1.0786","0.0","1.0786","0.0","0.0","4.3908","0.5109","1.8319","1.0655","0.9825","0.0"
"iac_eval","claude-4.5-sonnet","few-shot","458","0.9956","1.0","2.2882","0.0","2.2882","0.0","0.0","4.2707","0.3275","1.738","1.1485","1.0568","0.0"
"iac_eval","claude-4.5-sonnet","zero-shot","458","0.9978","1.0","1.31","0.0","1.31","0.0","0.0","4.6703","0.4476","1.7162","1.1703","1.3362","0.0"
"iac_eval","gemini-3-flash","cot","140","0.9786","1.0","1.75","0.0","1.75","0.0","0.0","4.05","0.2357","1.8","1.0286","0.9857","0.0"
"iac_eval","gemini-3-flash","few-shot","458","0.9956","1.0","2.3035","0.0","2.3035","0.0","0.0","4.0262","0.2402","1.6223","1.1004","1.0633","0.0"
"iac_eval","gemini-3-flash","zero-shot","420","0.9881","1.0","1.5476","0.0","1.5476","0.0","0.0","4.3738","0.3095","1.731","1.1214","1.2119","0.0"
"iac_eval","gemma-3-27b","cot","458","0.9782","1.0","1.6769","0.0","1.6769","0.0","0.0","4.0808","0.3079","1.7467","0.8777","1.1485","0.0"
"iac_eval","gemma-3-27b","few-shot","100","0.98","0.98","2.01","0.0","2.01","0.0","0.0","1.17","0.09","0.31","0.61","0.16","0.0"
"iac_eval","gemma-3-27b","zero-shot","120","0.9667","0.3417","1.85","0.0","1.85","0.0","0.0","0.9667","0.0417","0.4667","0.275","0.1833","0.0"
"iac_eval","glm-4.7","cot","60","0.6833","0.1167","0.4","0.0","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"iac_eval","glm-4.7","few-shot","458","0.9694","0.9825","2.3428","0.0","2.3428","0.0","0.0","3.9301","0.2467","1.6266","1.0677","0.9891","0.0"
"iac_eval","glm-4.7","zero-shot","40","0.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"iac_eval","grok-4.1-fast","cot","458","0.9956","1.0","1.2205","0.0","1.2205","0.0","0.0","5.5633","0.5109","1.9847","1.1048","1.9629","0.0"
"iac_eval","grok-4.1-fast","few-shot","458","0.9956","1.0","2.6638","0.0","2.6638","0.0","0.0","4.1856","0.2533","1.6026","1.0393","1.2904","0.0"
"iac_eval","grok-4.1-fast","zero-shot","458","0.9913","1.0","1.441","0.0","1.441","0.0","0.0","5.4585","0.4913","1.893","1.1397","1.9345","0.0"
"iac_eval","kimi-k2.5","cot","458","0.9956","1.0","1.3712","0.0","1.3712","0.0","0.0","4.8493","0.4847","1.9214","0.9651","1.4782","0.0"
"iac_eval","kimi-k2.5","few-shot","458","1.0","1.0","2.3559","0.0","2.3559","0.0","0.0","4.3362","0.2773","1.7293","1.0961","1.2336","0.0"
"iac_eval","kimi-k2.5","zero-shot","458","0.9978","1.0","1.9127","0.0","1.9127","0.0","0.0","5.238","0.4541","1.9563","1.0764","1.7511","0.0"
"iac_eval","ministral-8b","cot","458","0.9694","1.0","1.1485","0.0","1.1485","0.0","0.0","4.7009","0.452","1.7598","1.0349","1.4541","0.0"
"iac_eval","ministral-8b","few-shot","458","0.9847","1.0","2.7838","0.0","2.7838","0.0","0.0","4.4214","0.3188","1.786","1.0437","1.2729","0.0"
"iac_eval","ministral-8b","zero-shot","2","1.0","0.5","1.5","0.0","1.5","0.0","0.0","0.5","0.0","0.0","0.0","0.5","0.0"
"iac_eval","phi-4","cot","20","0.95","1.0","1.95","0.0","1.95","0.0","0.0","4.45","0.05","1.5","1.6","1.3","0.0"
"iac_eval","phi-4","few-shot","458","0.8646","1.0","2.0415","0.0","2.0415","0.0","0.0","3.5786","0.1223","1.5502","0.9498","0.9563","0.0"
"iac_eval","phi-4","zero-shot","458","0.8275","1.0","1.7729","0.0","1.7729","0.0","0.0","3.6725","0.2031","1.548","1.0175","0.9039","0.0"
"iac_eval","qwen3-235b","cot","60","0.95","0.2833","1.9667","0.0","1.9667","0.0","0.0","1.3","0.0333","0.5833","0.3","0.3833","0.0"
"iac_eval","qwen3-235b","few-shot","20","0.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"iac_eval","qwen3-235b","zero-shot","458","0.9934","1.0","2.083","0.0","2.083","0.0","0.0","4.4913","0.345","1.7904","1.0197","1.3362","0.0"
"iac_eval_paraphrased","claude-4.5-sonnet","cot","451","0.9978","1.0","1.0155","0.0","1.0155","0.0","0.0","4.6962","0.5322","1.9224","1.1042","1.1375","0.0"
"iac_eval_paraphrased","claude-4.5-sonnet","few-shot","451","0.9978","1.0","2.337","0.0","2.337","0.0","0.0","4.5698","0.3481","1.8758","1.1508","1.1951","0.0"
"iac_eval_paraphrased","claude-4.5-sonnet","zero-shot","451","0.9978","1.0","1.2572","0.0","1.2572","0.0","0.0","4.8359","0.4678","1.8182","1.1508","1.3991","0.0"
