"dataset","model","prompt_type","num_samples","gen_success_rate","ref_success_rate","mean_gen_num_lines_of_code","mean_gen_num_providers","mean_gen_num_resources","mean_gen_num_outputs","mean_gen_num_variables","mean_gen_num_modules","mean_gen_num_data","mean_gen_num_blocks","mean_gen_num_locals","mean_gen_num_terraform","mean_gen_numImplicitDependentEach_avg","mean_gen_numExplicitResourceDependency_sum","mean_gen_numImplicitDependentResources_sum","mean_gen_avgMccabeCC","mean_gen_maxMccabeCC","mean_gen_sumMccabeCC","mean_gen_numComparisonOperators_sum","mean_gen_numConditions_sum","mean_gen_numLoops_sum","mean_gen_maxDepthNestedBlocks","mean_gen_numDynamicBlocks_sum","mean_gen_numNestedBlocks_sum","mean_gen_loc_sum","mean_gen_containDescriptionField_sum","mean_gen_numStringValues_sum","mean_gen_minAttrsTextEntropy","mean_gen_maxAttrsTextEntropy","mean_gen_avgAttrsTextEntropy","mean_gen_textEntropyMeasure_avg","mean_gen_numDeprecatedFunctions_sum","mean_gen_numDebuggingFunctions_sum","mean_gen_numWildCardSuffixString_sum","mean_gen_numEmptyString_sum","mean_gen_numStarString_sum","mean_gen_numTokens_sum","mean_gen_numAttrs_sum","mean_gen_numVars_sum","mean_gen_numReferences_sum","mean_gen_numFunctionCall_sum","mean_gen_numLiteralExpression_sum","mean_gen_numMetaArg_sum","mean_gen_numTemplateExpression_sum","mean_gen_numHereDocs_sum","mean_gen_numObjects_sum","mean_gen_numTuples_sum","mean_gen_numLogiOpers_sum","mean_gen_numMathOperations_sum","mean_gen_numIndexAccess_sum","mean_gen_numSplatExpressions_sum","mean_gen_numLookUpFunctionCall_sum","mean_gen_numParams_sum","mean_ref_num_lines_of_code","mean_ref_num_providers","mean_ref_num_resources","mean_ref_num_outputs","mean_ref_num_variables","mean_ref_num_modules","mean_ref_num_data","mean_ref_num_blocks","mean_ref_num_locals","mean_ref_num_terraform","mean_ref_numImplicitDependentEach_avg","mean_ref_numExplicitResourceDependency_sum","mean_ref_numImplicitDependentResources_sum","mean_ref_avgMccabeCC","mean_ref_maxMccabeCC","mean_ref_sumMccabeCC","mean_ref_numComparisonOperators_sum","mean_ref_numConditions_sum","mean_ref_numLoops_sum","mean_ref_maxDepthNestedBlocks","mean_ref_numDynamicBlocks_sum","mean_ref_numNestedBlocks_sum","mean_ref_loc_sum","mean_ref_containDescriptionField_sum","mean_ref_numStringValues_sum","mean_ref_minAttrsTextEntropy","mean_ref_maxAttrsTextEntropy","mean_ref_avgAttrsTextEntropy","mean_ref_textEntropyMeasure_avg","mean_ref_numDeprecatedFunctions_sum","mean_ref_numDebuggingFunctions_sum","mean_ref_numWildCardSuffixString_sum","mean_ref_numEmptyString_sum","mean_ref_numStarString_sum","mean_ref_numTokens_sum","mean_ref_numAttrs_sum","mean_ref_numVars_sum","mean_ref_numReferences_sum","mean_ref_numFunctionCall_sum","mean_ref_numLiteralExpression_sum","mean_ref_numMetaArg_sum","mean_ref_numTemplateExpression_sum","mean_ref_numHereDocs_sum","mean_ref_numObjects_sum","mean_ref_numTuples_sum","mean_ref_numLogiOpers_sum","mean_ref_numMathOperations_sum","mean_ref_numIndexAccess_sum","mean_ref_numSplatExpressions_sum","mean_ref_numLookUpFunctionCall_sum","mean_ref_numParams_sum"
"iac_eval","claude-4.5-sonnet","cot","458","1.0","1.0","137.087336","0.866812","7.635371","4.085153","1.661572","0.004367","0.617904","15.713974","0.017467","0.825328","0.000411","0.0","14.502183","0.992007","1.063319","61.764192","0.080786","0.122271","0.010917","10.997817","0.010917","7.458515","137.087336","6.694323","42.849345","2.52476","4.72083","3.907477","4.538356","0.124454","0.002183","0.034934","0.058952","0.20524","439.99345","61.631004","36.262009","37.329694","1.246725","52.866812","0.838428","2.816594","0.148472","7.9869","4.689956","0.00655","0.141921","0.672489","0.120087","0.002183","1.427948","49.962882","0.709607","4.624454","0.09607","0.008734","0.10262","0.569869","6.655022","0.019651","0.524017","0.0","0.0","4.901747","0.99668","1.0","23.362445","0.0","0.0","0.0","5.980349","0.0","3.694323","49.962882","0.237991","16.432314","2.982336","4.43583","3.775567","4.487544","0.0","0.0","0.0","0.024017","0.061135","155.09607","23.362445","8.569869","12.786026","0.224891","19.71179","0.253275","0.163755","0.072052","1.251092","1.895197","0.0","0.0131","0.327511","0.0","0.0","0.233624"
"iac_eval","claude-4.5-sonnet","few-shot","458","1.0","1.0","57.323144","0.050218","5.251092","0.286026","0.072052","0.00655","0.323144","5.997817","0.002183","0.00655","0.000546","0.0","6.722707","0.997716","1.002183","26.783843","0.004367","0.004367","0.0","5.696507","0.0","3.255459","57.323144","0.786026","18.617904","3.011943","4.543624","3.813901","4.565439","0.028384","0.0","0.002183","0.00655","0.135371","185.224891","26.779476","12.919214","15.351528","0.606987","24.039301","0.187773","0.855895","0.063319","3.323144","2.502183","0.0","0.015284","0.382096","0.019651","0.0","0.622271","49.962882","0.709607","4.624454","0.09607","0.008734","0.10262","0.569869","6.655022","0.019651","0.524017","0.0","0.0","4.901747","0.99668","1.0","23.362445","0.0","0.0","0.0","5.980349","0.0","3.694323","49.962882","0.237991","16.432314","2.982336","4.43583","3.775567","4.487544","0.0","0.0","0.0","0.024017","0.061135","155.09607","23.362445","8.569869","12.786026","0.224891","19.71179","0.253275","0.163755","0.072052","1.251092","1.895197","0.0","0.0131","0.327511","0.0","0.0","0.233624"
"iac_eval","claude-4.5-sonnet","zero-shot","458","1.0","1.0","96.030568","0.829694","6.545852","1.652838","0.259825","0.004367","0.360262","10.451965","0.00655","0.792576","0.000435","0.0","10.253275","0.992485","1.008734","41.746725","0.002183","0.002183","0.010917","9.072052","0.0","5.744541","96.030568","2.471616","30.329694","2.725153","4.623079","3.881558","4.517992","0.037118","0.002183","0.028384","0.00655","0.216157","294.19869","41.733624","22.09607","23.159389","0.825328","37.539301","0.399563","0.971616","0.10262","6.19214","3.687773","0.0","0.098253","0.29476","0.045852","0.0","0.855895","49.962882","0.709607","4.624454","0.09607","0.008734","0.10262","0.569869","6.655022","0.019651","0.524017","0.0","0.0","4.901747","0.99668","1.0","23.362445","0.0","0.0","0.0","5.980349","0.0","3.694323","49.962882","0.237991","16.432314","2.982336","4.43583","3.775567","4.487544","0.0","0.0","0.0","0.024017","0.061135","155.09607","23.362445","8.569869","12.786026","0.224891","19.71179","0.253275","0.163755","0.072052","1.251092","1.895197","0.0","0.0131","0.327511","0.0","0.0","0.233624"
"iac_eval","gemini-3-flash","cot","458","1.0","1.0","64.451965","1.024017","5.004367","0.960699","0.172489","0.00655","0.262009","7.868996","0.010917","0.427948","0.000978","0.0","6.879121","0.992688","1.008791","28.652747","0.002198","0.004396","0.008791","7.841758","0.013187","3.679121","64.876923","1.224176","20.720879","2.833429","4.641824","3.875663","4.600147","0.017582","0.0","0.008791","0.032967","0.149451","200.773626","28.63956","14.496703","15.483516","0.575824","25.578022","0.386813","0.441758","0.061538","3.648352","2.674725","0.0","0.032967","0.189011","0.050549","0.0","0.591209","49.962882","0.709607","4.624454","0.09607","0.008734","0.10262","0.569869","6.655022","0.019651","0.524017","0.0","0.0","4.901747","0.99668","1.0","23.362445","0.0","0.0","0.0","5.980349","0.0","3.694323","49.962882","0.237991","16.432314","2.982336","4.43583","3.775567","4.487544","0.0","0.0","0.0","0.024017","0.061135","155.09607","23.362445","8.569869","12.786026","0.224891","19.71179","0.253275","0.163755","0.072052","1.251092","1.895197","0.0","0.0131","0.327511","0.0","0.0","0.233624"
"iac_eval","gemini-3-flash","few-shot","458","1.0","1.0","44.779476","0.152838","4.574236","0.048035","0.032751","0.008734","0.148472","4.967249","0.002183","0.0","0.000595","0.0","5.082969","0.995964","1.002183","20.866812","0.0","0.0","0.002183","5.467249","0.0","2.548035","44.779476","0.40393","14.762009","3.009978","4.554083","3.816834","4.580153","0.00655","0.0","0.002183","0.043668","0.10262","139.829694","20.864629","9.168122","10.951965","0.438865","18.497817","0.231441","0.39083","0.078603","2.080786","2.032751","0.0","0.024017","0.067686","0.0","0.0","0.445415","49.962882","0.709607","4.624454","0.09607","0.008734","0.10262","0.569869","6.655022","0.019651","0.524017","0.0","0.0","4.901747","0.99668","1.0","23.362445","0.0","0.0","0.0","5.980349","0.0","3.694323","49.962882","0.237991","16.432314","2.982336","4.43583","3.775567","4.487544","0.0","0.0","0.0","0.024017","0.061135","155.09607","23.362445","8.569869","12.786026","0.224891","19.71179","0.253275","0.163755","0.072052","1.251092","1.895197","0.0","0.0131","0.327511","0.0","0.0","0.233624"
"iac_eval","gemini-3-flash","zero-shot","458","1.0","1.0","59.473799","0.962882","4.757642","0.388646","0.117904","0.008734","0.21179","6.975983","0.004367","0.524017","0.001819","0.0","5.826754","0.995003","1.002193","26.02193","0.0","0.0","0.004386","7.679825","0.004386","3.539474","59.734649","0.796053","19.502193","2.928684","4.610789","3.873994","4.55382","0.02193","0.0","0.0","0.026316","0.144737","180.278509","26.017544","12.690789","12.877193","0.570175","23.905702","0.291667","0.342105","0.067982","3.427632","2.449561","0.0","0.035088","0.10307","0.030702","0.0","0.587719","49.962882","0.709607","4.624454","0.09607","0.008734","0.10262","0.569869","6.655022","0.019651","0.524017","0.0","0.0","4.901747","0.99668","1.0","23.362445","0.0","0.0","0.0","5.980349","0.0","3.694323","49.962882","0.237991","16.432314","2.982336","4.43583","3.775567","4.487544","0.0","0.0","0.0","0.024017","0.061135","155.09607","23.362445","8.569869","12.786026","0.224891","19.71179","0.253275","0.163755","0.072052","1.251092","1.895197","0.0","0.0131","0.327511","0.0","0.0","0.233624"
"iac_eval","gemma-3-27b","cot","458","1.0","1.0","46.626638","0.406114","3.729258","0.227074","0.379913","0.010917","0.120087","5.286026","0.004367","0.408297","0.002664","0.0","3.651982","0.993488","1.006608","20.407489","0.006608","0.006608","0.002203","5.438326","0.002203","2.524229","47.037445","0.889868","15.909692","2.991762","4.581806","3.850326","4.591708","0.04185","0.0","0.0","0.218062","0.118943","139.050661","20.398678","9.709251","8.343612","0.455947","19.281938","0.123348","0.262115","0.068282","2.870044","2.200441","0.0","0.004405","0.008811","0.0","0.0","0.475771","49.962882","0.709607","4.624454","0.09607","0.008734","0.10262","0.569869","6.655022","0.019651","0.524017","0.0","0.0","4.901747","0.99668","1.0","23.362445","0.0","0.0","0.0","5.980349","0.0","3.694323","49.962882","0.237991","16.432314","2.982336","4.43583","3.775567","4.487544","0.0","0.0","0.0","0.024017","0.061135","155.09607","23.362445","8.569869","12.786026","0.224891","19.71179","0.253275","0.163755","0.072052","1.251092","1.895197","0.0","0.0131","0.327511","0.0","0.0","0.233624"
"iac_eval","gemma-3-27b","few-shot","458","1.0","1.0","27.393013","0.015284","2.951965","0.028384","0.039301","0.004367","0.074236","3.122271","0.002183","0.004367","0.002193","0.0","2.320175","0.990744","1.002193","13.337719","0.002193","0.002193","0.0","3.820175","0.002193","1.557018","27.513158","0.285088","10.076754","3.039781","4.451952","3.771856","4.60902","0.002193","0.0","0.002193","0.114035","0.041667","84.072368","13.335526","4.528509","5.010965","0.212719","12.379386","0.054825","0.313596","0.028509","1.276316","1.230263","0.0","0.0","0.0","0.0","0.0","0.223684","49.962882","0.709607","4.624454","0.09607","0.008734","0.10262","0.569869","6.655022","0.019651","0.524017","0.0","0.0","4.901747","0.99668","1.0","23.362445","0.0","0.0","0.0","5.980349","0.0","3.694323","49.962882","0.237991","16.432314","2.982336","4.43583","3.775567","4.487544","0.0","0.0","0.0","0.024017","0.061135","155.09607","23.362445","8.569869","12.786026","0.224891","19.71179","0.253275","0.163755","0.072052","1.251092","1.895197","0.0","0.0131","0.327511","0.0","0.0","0.233624"
"iac_eval","gemma-3-27b","zero-shot","458","1.0","1.0","36.58952","0.218341","3.240175","0.072052","0.065502","0.00655","0.078603","3.879913","0.00655","0.189956","0.0","0.0","2.69011","0.992142","1.002198","16.602198","0.002198","0.002198","0.0","5.367033","0.004396","2.224176","36.830769","0.402198","13.450549","3.026813","4.504418","3.823978","4.61407","0.008791","0.0","0.002198","0.175824","0.068132","107.734066","16.6","6.481319","5.905495","0.303297","16.184615","0.114286","0.153846","0.050549","2.068132","1.734066","0.0","0.008791","0.015385","0.0","0.0","0.314286","49.962882","0.709607","4.624454","0.09607","0.008734","0.10262","0.569869","6.655022","0.019651","0.524017","0.0","0.0","4.901747","0.99668","1.0","23.362445","0.0","0.0","0.0","5.980349","0.0","3.694323","49.962882","0.237991","16.432314","2.982336","4.43583","3.775567","4.487544","0.0","0.0","0.0","0.024017","0.061135","155.09607","23.362445","8.569869","12.786026","0.224891","19.71179","0.253275","0.163755","0.072052","1.251092","1.895197","0.0","0.0131","0.327511","0.0","0.0","0.233624"
"iac_eval","glm-4.7","cot","458","0.9956","1.0","72.962719","0.850877","5.388158","0.473684","0.480263","0.004386","0.416667","8.337719","0.008772","0.714912","0.001742","0.0","6.89207","0.997629","1.002203","32.537445","0.0","0.0","0.004405","8.42511","0.0","4.381057","73.284141","1.469163","22.328194","2.906696","4.625","3.879734","4.494504","0.079295","0.002203","0.008811","0.035242","0.099119","223.931718","32.53304","16.303965","16.803965","0.770925","28.361233","0.530837","0.603524","0.105727","4.447137","2.777533","0.0","0.094714","0.226872","0.138767","0.0","1.103524","49.962882","0.709607","4.624454","0.09607","0.008734","0.10262","0.569869","6.655022","0.019651","0.524017","0.0","0.0","4.901747","0.99668","1.0","23.362445","0.0","0.0","0.0","5.980349","0.0","3.694323","49.962882","0.237991","16.432314","2.982336","4.43583","3.775567","4.487544","0.0","0.0","0.0","0.024017","0.061135","155.09607","23.362445","8.569869","12.786026","0.224891","19.71179","0.253275","0.163755","0.072052","1.251092","1.895197","0.0","0.0131","0.327511","0.0","0.0","0.233624"
