"dataset","model","prompt_type","n","fmt_pass_rate","init_pass_rate","validate_pass_rate","mean_validate_errors"
"iac_eval","claude-4.5-sonnet","cot","458","0.5109","0.9891","0.8668","0.214"
"iac_eval","claude-4.5-sonnet","few-shot","458","0.6638","0.9913","0.8996","0.1288"
"iac_eval","claude-4.5-sonnet","zero-shot","458","0.6157","0.9934","0.8843","0.1812"
"iac_eval","gemini-3-flash","cot","458","0.4629","0.9738","0.8646","0.2074"
"iac_eval","gemini-3-flash","few-shot","458","0.7489","0.9869","0.8952","0.1616"
"iac_eval","gemini-3-flash","zero-shot","458","0.5852","0.9803","0.8952","0.1397"
"iac_eval","gemma-3-27b","cot","458","0.1419","0.9629","0.2271","2.2467"
"iac_eval","gemma-3-27b","few-shot","458","0.2118","0.9694","0.2555","2.2009"
"iac_eval","gemma-3-27b","zero-shot","458","0.1638","0.9651","0.2227","2.2948"
"iac_eval","glm-4.7","cot","458","0.4585","0.9803","0.6572","0.7664"
"iac_eval","glm-4.7","few-shot","458","0.6135","0.9651","0.7096","0.5087"
"iac_eval","glm-4.7","zero-shot","458","0.5284","0.9629","0.6921","0.5873"
"iac_eval","grok-4.1-fast","cot","458","0.0655","0.9716","0.5","1.4891"
"iac_eval","grok-4.1-fast","few-shot","458","0.4083","0.9869","0.548","1.2336"
"iac_eval","grok-4.1-fast","zero-shot","458","0.1507","0.9629","0.5197","1.3734"
"iac_eval","kimi-k2.5","cot","458","0.5699","0.9869","0.7707","0.4869"
"iac_eval","kimi-k2.5","few-shot","458","0.714","0.9913","0.8668","0.2009"
"iac_eval","kimi-k2.5","zero-shot","458","0.6594","0.9913","0.821","0.3144"
"iac_eval","ministral-8b","cot","458","0.1987","0.9367","0.3755","2.2227"
"iac_eval","ministral-8b","few-shot","458","0.2969","0.9651","0.3996","2.2052"
"iac_eval","ministral-8b","zero-shot","458","0.2293","0.9432","0.393","2.3231"
"iac_eval","phi-4","cot","458","0.1594","0.9541","0.3493","1.9978"
"iac_eval","phi-4","few-shot","458","0.1703","0.8319","0.2642","1.9454"
"iac_eval","phi-4","zero-shot","458","0.1485","0.7773","0.2162","2.0371"
